,GRIDFS,,Dokument JSON,
1658,1.658,479,0.479,1
1674,1.674,469,0.469,2
1796,1.796,491,0.491,3
1634,1.634,482,0.482,4
1631,1.631,485,0.485,5
1673,1.673,473,0.473,6
1698,1.698,473,0.473,7
1633,1.633,472,0.472,8
1692,1.692,476,0.476,9
1670,1.67,475,0.475,10
1676,1.676,471,0.471,11
1658,1.658,475,0.475,12
1680,1.68,484,0.484,13
1650,1.65,470,0.47,14
1654,1.654,468,0.468,15
1713,1.713,483,0.483,16
1667,1.667,464,0.464,17
1662,1.662,464,0.464,18
1650,1.65,472,0.472,19
1677,1.677,464,0.464,20
1676,1.676,463,0.463,21
1637,1.637,471,0.471,22
1668,1.668,481,0.481,23
1653,1.653,474,0.474,24
1697,1.697,482,0.482,25
1696,1.696,476,0.476,26
1695,1.695,465,0.465,27
1670,1.67,474,0.474,28
1688,1.688,476,0.476,29
1772,1.772,472,0.472,30
1758,1.758,476,0.476,31
1701,1.701,482,0.482,32
1653,1.653,485,0.485,33
1694,1.694,478,0.478,34
1687,1.687,476,0.476,35
1679,1.679,473,0.473,36
1712,1.712,474,0.474,37
1632,1.632,472,0.472,38
1714,1.714,472,0.472,39
1693,1.693,468,0.468,40
1665,1.665,472,0.472,41
1679,1.679,476,0.476,42
1647,1.647,479,0.479,43
1663,1.663,480,0.48,44
1647,1.647,492,0.492,45
1660,1.66,475,0.475,46
1663,1.663,482,0.482,47
1645,1.645,475,0.475,48
1663,1.663,473,0.473,49
1673,1.673,475,0.475,50
1668,1.668,471,0.471,51
1658,1.658,471,0.471,52
1629,1.629,481,0.481,53
1687,1.687,476,0.476,54
1652,1.652,472,0.472,55
1682,1.682,481,0.481,56
1656,1.656,473,0.473,57
1992,1.992,485,0.485,58
1836,1.836,470,0.47,59
1812,1.812,463,0.463,60
1776,1.776,473,0.473,61
1878,1.878,470,0.47,62
1785,1.785,476,0.476,63
1781,1.781,475,0.475,64
1776,1.776,471,0.471,65
1708,1.708,472,0.472,66
1766,1.766,476,0.476,67
1721,1.721,472,0.472,68
1726,1.726,473,0.473,69
1733,1.733,473,0.473,70
1740,1.74,473,0.473,71
1714,1.714,471,0.471,72
1730,1.73,469,0.469,73
1721,1.721,470,0.47,74
1721,1.721,470,0.47,75
1734,1.734,470,0.47,76
1714,1.714,470,0.47,77
2451,2.451,463,0.463,78
1753,1.753,472,0.472,79
1712,1.712,468,0.468,80
1828,1.828,467,0.467,81
1744,1.744,468,0.468,82
1788,1.788,550,0.55,83
1747,1.747,470,0.47,84
1753,1.753,479,0.479,85
1718,1.718,478,0.478,86
1738,1.738,477,0.477,87
1717,1.717,479,0.479,88
1710,1.71,475,0.475,89
1723,1.723,476,0.476,90
1740,1.74,473,0.473,91
1716,1.716,472,0.472,92
1722,1.722,473,0.473,93
1741,1.741,474,0.474,94
1707,1.707,471,0.471,95
1726,1.726,468,0.468,96
1718,1.718,476,0.476,97
1750,1.75,471,0.471,98
1745,1.745,477,0.477,99
1741,1.741,472,0.472,100
171555,,,,
